,geoid,Census Tract,Population 12-17,"Population, error",POP00,POP10,Organization Name,County,DSA Track: Distinct Track Number,Priority,List Current and/or Planned Projects,Reason for priority?,Median Income,Median Income Error,In Labor Force,Civilian Labor Force,Employed,unemployed,Not in Labor Force,% Change Pop,% Unemployment
98,14000US39035104900,"Census Tract 1049, Cuyahoga, OH",2470,321,3241,2493,The MetroHealth System,Cuyahoga,39035104900,2,"Tract 1049 is strategically positioned to leverage the $945 million MetroHealth campus transformation project. CCH Development is currently working with key community stakeholders to identify underutilized properties and facilitate strategic development opportunities that complement the new main campus. Projects that are under consideration include housing for Physicians conducting their residency at MetroHealth. Additionally, CCH Development has been working with the Greater Cleveland RTA to improve public transportation. In 2017 MetroHealth made a $4.1 million, 25-year investment with RTA for the naming right of the West 25th Street Corridor bus-line. This investment is part of a larger initiative to improve public transit all along the corridor by implementing a Bus-Rapid-Transit system.","With its adjacency to Tract 1048 and its preponderance of development and infrastructure investment, tract 1049 is ready for investment in the immediate.",26181,2186,1161,1161,985,176,758,-23.78895402653502,15.15934539190353
99,14000US39035104900,"Census Tract 1049, Cuyahoga, OH",2470,321,3241,2493,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035104900,29,"This tract includes the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive both public and private capital for development. This tract is proximate to the Steelyard Commons retail complex, which recently underwent a multi-million dollar Phase II expansion. Infrastructure: W. 25th Street bus corridor which will feature streetscape improvements and transit efficiency upgrades funded by MetroHealth?s annual $4.1 million purchase of naming rights.","This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",26181,2186,1161,1161,985,176,758,-23.78895402653502,15.15934539190353
100,14000US39035104900,"Census Tract 1049, Cuyahoga, OH",2470,321,3241,2493,Cuyahoga County,Cuyahoga,39035104900,27,"Mercedarian Plaza senior apartments; This tract includes the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive both public and private capital for development.","One of 70 equally ranked GCP/Cleveland/Cuyahoga/FFOEF Consensus tracts.  All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance",26181,2186,1161,1161,985,176,758,-23.78895402653502,15.15934539190353
101,14000US39035104900,"Census Tract 1049, Cuyahoga, OH",2470,321,3241,2493,City of Cleveland,Cuyahoga,39035104900,27,"Mercedarian Plaza senior apartments; This tract includes the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive both public and private capital for development.","One of 70 equally ranked GCP/Cleveland/Cuyahoga Consensus tracts. All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance.",26181,2186,1161,1161,985,176,758,-23.78895402653502,15.15934539190353
102,14000US39035105500,"Census Tract 1055, Cuyahoga, OH",2100,279,2181,1854,Metro West CDO,Cuyahoga,39035105500,4,Just south of the Metro Health campus transformation project. This census tract is home to a couple important sites that offer potential for future development. First is the Archwood UCC site which is currently considering development to provide child care services within the community. Second is the Masonic Building located at 3804 Pearl Road. This site has fallen serverly tax delinquent and will provide a potential for development within the community within the next 5 years as projects are currently being considered.,This specific census tract is located near a major development in our community and offers great development opportunities to support and build off of the Metro Health Campus Transformation,24706,11071,1164,1164,982,182,421,-3.7138927097661623,15.63573883161512
103,14000US39035105500,"Census Tract 1055, Cuyahoga, OH",2100,279,2181,1854,CCH Development,Cuyahoga,39035105500,6,"Tract 1055 is strategically located in proximity to the MetroHealth main campus. Located primarily in the Brooklyn Center Neighborhood, the tract is uniquely positioned to take advantage of MetroHealth?s Employee Housing Incentive Program. The soon to be announced program will provide a financial incentive to MetroHealth employees to move into the neighborhood surrounding the main campus. The incentive will provide financial support towards the purchase or construction of a home, a rent subsidy, or home repair assistance. Through the Employee Housing Incentive Program, MetroHealth intends to entice 400 employee families to move to the neighborhood surrounding the main campus.",Census tract 1055 has great potential to leverage MetroHealth's $945 million campus transformation and there are developments plans expected in the next 1-5 year.,24706,11071,1164,1164,982,182,421,-3.7138927097661623,15.63573883161512
104,14000US39035105500,"Census Tract 1055, Cuyahoga, OH",2100,279,2181,1854,The MetroHealth System,Cuyahoga,39035105500,6,"Tract 1055 is strategically located in proximity to the MetroHealth main campus. Located primarily in the Brooklyn Center Neighborhood, the tract is uniquely positioned to take advantage of MetroHealth?s Employee Housing Incentive Program. The soon to be announced program will provide a financial incentive to MetroHealth employees to move into the neighborhood surrounding the main campus. The incentive will provide financial support towards the purchase or construction of a home, a rent subsidy, or home repair assistance. Through the Employee Housing Incentive Program, MetroHealth intends to entice 400 employee families to move to the neighborhood surrounding the main campus.",Tract 1055 is strategically located in proximity to the MetroHealth main campus and census tract 1048 with additional investment over the 1-4 years.,24706,11071,1164,1164,982,182,421,-3.7138927097661623,15.63573883161512
105,14000US39035105500,"Census Tract 1055, Cuyahoga, OH",2100,279,2181,1854,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035105500,34,The tract is positioned to leverage MetroHealth?s Employee Housing Incentive Program that will provide an incentive to MetroHealth employees to move into the neighborhood. MetroHealth intends to entice 400 employee families to move to the neighborhood.,"This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",24706,11071,1164,1164,982,182,421,-3.7138927097661623,15.63573883161512
106,14000US39035107101,"Census Tract 1071.01, Cuyahoga, OH",4610,346,3239,4193,St. Clair Superior Development Corporation,Cuyahoga,39035107101,10,CDBG funds for 2018,Mixed use area that has empty warehouses.,78750,9666,2200,2200,2145,55,2407,42.32787897499228,2.5
107,14000US39035107101,"Census Tract 1071.01, Cuyahoga, OH",4610,346,3239,4193,St. Clair Superior Development Corporation,Cuyahoga,39035107101,1,CDBG funds through June 2018.,,78750,9666,2200,2200,2145,55,2407,42.32787897499228,2.5
108,14000US39035107101,"Census Tract 1071.01, Cuyahoga, OH",4610,346,3239,4193,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035107101,6,Mixed use development (20+ acre site) FLATS EAST BANK - $100M mixed use development Cleveland Lakefront Development,"This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Downtown development cluster.",78750,9666,2200,2200,2145,55,2407,42.32787897499228,2.5
109,14000US39035107101,"Census Tract 1071.01, Cuyahoga, OH",4610,346,3239,4193,Cuyahoga County,Cuyahoga,39035107101,3,Flats East Bank - $100M mixed use development. Cleveland Lakefront Development ? mixed use development (20+ acre site),"One of 70 equally ranked GCP/Cleveland/Cuyahoga/FFOEF Consensus tracts.  All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance",78750,9666,2200,2200,2145,55,2407,42.32787897499228,2.5
110,14000US39035107101,"Census Tract 1071.01, Cuyahoga, OH",4610,346,3239,4193,City of Cleveland,Cuyahoga,39035107101,3,Flates East Bank - $100M mixed use development. Cleveland Lakefront Development ? mixed use development (20+ acre site),"One of 70 equally ranked GCP/Cleveland/Cuyahoga Consensus tracts. All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance.",78750,9666,2200,2200,2145,55,2407,42.32787897499228,2.5
